Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Metabolic rate (W),Body mass (g),Temperature (K)
Mammalia,Artiodactyla,Bovidae,Beatragus,hunteri,Hirola,652.0,1278.0,283.0,,1.0,,,8350.0,,159000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Bison,bison,American bison,912.0,912.0,274.0,259.0,1.0,1.0,452.0,20000.0,158000.0,630000.0,,33.5,captivity,,,311.85
Mammalia,Artiodactyla,Bovidae,Bison,bonasus,European bison,730.0,730.0,270.0,213.0,1.0,1.0,641.0,23375.0,,610000.0,,26.4,captivity,,,311.5
Mammalia,Artiodactyla,Bovidae,Bos,frontalis,Gaur,590.0,550.0,275.0,137.0,1.0,0.9,634.0,23000.0,,825000.0,,26.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Bos,grunniens,Yak,738.0,738.0,274.0,228.0,1.0,0.8,,18000.0,,667000.0,,26.3,captivity,,,311.15
Mammalia,Artiodactyla,Bovidae,Bos,javanicus,Banteng,730.0,,295.0,304.0,1.0,1.0,,,,700000.0,,27.1,captivity,,,311.95
Mammalia,Artiodactyla,Bovidae,Bos,sauveli,Kouprey,755.0,,260.0,,1.0,,,,,800000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Bos,taurus,Domestic cattle,548.0,365.0,277.0,,1.0,1.0,,,,750000.0,0.0031,20.0,captivity,306.77,347000.0,311.15
Mammalia,Artiodactyla,Bovidae,Boselaphus,tragocamelus,Nilgai,815.0,,255.0,,1.5,1.0,365.0,5875.0,,180000.0,,21.7,captivity,,,
Mammalia,Artiodactyla,Bovidae,Bubalus,bubalis,Water buffalo,502.0,,311.0,,1.375,1.0,365.0,37500.0,,725000.0,,34.9,captivity,,,311.25
Mammalia,Artiodactyla,Bovidae,Bubalus,depressicornis,Anoa,730.0,730.0,300.0,,1.0,1.0,,,,155000.0,,36.1,captivity,,,
Mammalia,Artiodactyla,Bovidae,Bubalus,mindorensis,Tamaraw,755.0,,300.0,,1.0,0.5,1095.0,,,240000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Bubalus,quarlesi,Mountain anoa,755.0,,295.0,,1.0,1.0,,,,150000.0,,29.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Budorcas,taxicolor,Takin,730.0,730.0,210.0,,1.0,1.0,365.0,6000.0,,180000.0,,21.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capra,caucasica,West Caucasian tur,890.0,1085.0,157.0,,1.0,,,3850.0,,70000.0,,19.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capra,cylindricornis,East Caucasian tur,1019.0,914.0,161.0,182.0,1.2,1.0,,3787.5,,50000.0,,20.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capra,falconeri,Markhor,745.0,,163.0,167.0,2.0,,,,,41000.0,,19.1,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capra,hircus,Domestic goat,406.0,685.0,155.0,,1.5,1.0,451.0,2250.0,,61000.0,0.0041,20.8,captivity,,,312.45
Mammalia,Artiodactyla,Bovidae,Capra,ibex,Ibex,797.0,1256.0,169.0,274.0,1.1,0.8,489.0,2850.0,,82500.0,0.005,21.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capra,nubiana,Nubian ibex,818.0,1256.0,150.0,,1.0,,,,,46250.0,,22.4,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capra,pyrenaica,Spanish ibex,548.0,1096.0,165.0,,1.5,,,,,57500.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Capra,sibirica,Siberian ibex,797.0,1541.0,175.0,,,,,3640.0,,130000.0,,22.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capricornis,crispus,Japanese serow,1095.0,1095.0,215.0,,1.0,1.0,548.0,3510.5,,80000.0,,24.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Capricornis,sumatraensis,Serow,912.0,1004.0,213.0,,1.0,1.0,,3500.0,,95000.0,,18.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,dorsalis,Bay duiker,578.0,,236.0,,1.0,,,1610.0,,11600.0,,17.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,jentinki,Jentink's duiker,,,,,1.0,,,4581.0,,70000.3,,21.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,natalensis,Natal duiker,,,213.0,,1.0,,235.0,955.0,,10000.0,,15.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,niger,Black duiker,,,128.0,,1.0,,,1940.0,,18100.0,,14.8,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,nigrifrons,Black-fronted duiker,,,,,,,,,,13900.0,,17.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,rufilatus,Red-flanked duiker,270.0,270.0,230.0,,1.0,,,943.0,,13000.0,,15.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,silvicultor,Yellow-backed duiker,,,165.0,38.0,1.0,1.0,306.0,2400.0,20512.5,62000.0,,22.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,weynsi,Weyns's duiker,,,213.0,,,,,,,10000.0,,15.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Cephalophus,zebra,Zebra duiker,,,227.0,,1.0,,,1707.5,,17500.1,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,Black wildebeest,763.0,1096.0,259.0,228.0,1.0,,,11000.0,,132250.0,,21.8,captivity,,,
Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,Blue wildebeest,411.0,912.0,253.0,278.0,1.0,1.0,365.0,18125.0,,164500.0,0.0026,24.3,captivity,230.073,196500.0,311.15
Mammalia,Artiodactyla,Bovidae,Damaliscus,lunatus,Topi,639.0,,238.0,,1.0,0.6,,11100.0,,110000.0,,35.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,"Bontebok, or Sassaby, or Blesbok",707.0,,243.0,152.0,1.2,,365.0,6792.0,,84500.0,0.0056,23.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Eudorcas,rufifrons,Red-fronted gazelle,365.0,,175.0,,1.0,,,,,15011.0,,14.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Eudorcas,thomsonii,Thomson's gazelle,365.0,180.0,170.0,102.0,1.0,1.5,190.0,2600.0,,25000.0,,20.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Gazella,bennettii,Indian gazelle,485.0,637.0,172.0,,,,,,,18916.7,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Gazella,cuvieri,Cuvier's gazelle,349.0,180.0,171.0,,1.5,,274.0,,,17500.0,,17.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Gazella,dorcas,Dorcas gazelle,730.0,589.0,182.0,82.0,1.0,1.0,338.0,1650.0,7000.0,14500.0,,23.7,captivity,,,312.05
Mammalia,Artiodactyla,Bovidae,Gazella,gazella,Mountain gazelle,476.0,685.0,180.0,88.0,1.0,1.5,297.0,2360.0,,23250.0,,18.3,captivity,,,312.65
Mammalia,Artiodactyla,Bovidae,Gazella,leptoceros,Rhim gazelle,157.0,,176.0,,1.0,,,4640.0,,48500.0,,14.6,captivity,,,
Mammalia,Artiodactyla,Bovidae,Gazella,saudiya,Saudi gazelle,499.0,637.0,156.0,,,,,,,32185.7,,21.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Gazella,spekei,Speke's gazelle,511.0,,197.0,,1.0,,205.0,1253.33,,20000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Gazella,subgutturosa,Goitered gazelle,646.0,746.0,175.0,106.0,1.3,1.0,,2625.0,13500.0,48500.0,,16.3,captivity,,,312.65
Mammalia,Artiodactyla,Bovidae,Hemitragus,hylocrius,Nilgiri tahr,669.0,,188.0,152.0,1.3,,246.0,,,75000.0,,17.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Hemitragus,jayakari,Arabian tahr,,,164.0,,1.0,,,,,23000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Hemitragus,jemlahicus,Himalayan tahr,547.0,730.0,183.0,151.0,1.0,1.0,365.0,2000.0,,35200.0,,24.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,Roan antelope,730.0,814.0,284.0,183.0,1.0,,331.0,15167.0,,225000.0,,25.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,Sable antelope,768.0,1184.0,271.0,213.0,1.0,1.0,365.0,16375.0,,225000.0,,22.2,captivity,,,
Mammalia,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Waterbuck,771.0,,264.0,213.0,1.0,1.0,365.0,9000.0,,175333.0,,30.0,captivity,148.949,100000.0,311.85
Mammalia,Artiodactyla,Bovidae,Kobus,kob,Kob,403.0,365.0,251.0,189.0,1.0,1.3,,5405.0,31600.0,105000.0,,21.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Kobus,leche,Lechwe,898.0,1050.0,229.0,137.0,1.0,,,5100.0,,94800.0,,27.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Kobus,megaceros,Nile lechwe,730.0,730.0,235.0,,1.0,1.0,353.0,5100.0,,90000.0,,21.1,captivity,,,
Mammalia,Artiodactyla,Bovidae,Litocranius,walleri,Gerenuk,359.0,,204.0,241.0,1.0,,241.0,,,43500.0,,17.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Madoqua,guentheri,Gunther's dik-dik,139.0,,178.0,84.0,1.0,2.0,,681.67,2825.5,4550.0,,17.5,captivity,,,310.95
Mammalia,Artiodactyla,Bovidae,Madoqua,kirkii,Kirk's dik-dik,213.0,304.0,172.0,71.0,1.0,2.0,244.0,600.0,1780.0,5000.0,0.0124,17.3,captivity,11.966,4290.0,312.15
Mammalia,Artiodactyla,Bovidae,Naemorhedus,baileyi,Red goral,950.0,500.0,213.0,,1.5,,,,,28863.0,,19.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Naemorhedus,caudatus,Chinese goral,950.0,500.0,215.0,,,,,,,27000.0,,20.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Naemorhedus,goral,Goral,500.0,500.0,215.0,,1.0,1.0,365.0,2000.0,,31750.0,,17.6,captivity,,,
Mammalia,Artiodactyla,Bovidae,Nanger,dama,Dama gazelle,109.0,,208.0,,1.0,,182.0,,,73000.0,,19.3,captivity,,,312.35
Mammalia,Artiodactyla,Bovidae,Nanger,granti,Grant's gazelle,251.0,,196.0,,1.0,,,5602.5,,67000.0,,23.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Nanger,soemmerringii,Soemmerring's gazelle,640.0,,190.0,,1.0,,,,,48500.0,,15.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Neotragus,moschatus,Suni,183.0,183.0,180.0,,1.0,,,,,6500.0,,13.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Neotragus,pygmaeus,Royal antelope,487.0,685.0,183.0,,1.0,,,,,2250.0,,11.1,captivity,,,
Mammalia,Artiodactyla,Bovidae,Oreamnos,americanus,Mountain goat,912.0,912.0,184.0,122.0,1.2,1.0,365.0,3200.0,,90000.0,,20.8,captivity,46.414,32000.0,
Mammalia,Artiodactyla,Bovidae,Oreotragus,oreotragus,Klipspringer,365.0,365.0,196.0,137.0,1.0,1.0,365.0,1130.0,,12000.0,,25.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Oryx,dammah,Scimitar-horned oryx,639.0,550.0,247.0,,1.0,,,10317.0,,177500.0,,27.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Oryx,gazella,Gemsbok,550.0,550.0,270.0,,1.0,1.3,,12000.0,,170000.0,,23.8,captivity,,,312.05
Mammalia,Artiodactyla,Bovidae,Oryx,leucoryx,Arabian oryx,794.0,550.0,243.0,137.0,1.0,1.0,,,,121350.0,,20.8,captivity,,,311.65
Mammalia,Artiodactyla,Bovidae,Ourebia,ourebi,Oribi,304.0,426.0,193.0,137.0,1.0,1.5,185.0,2235.0,,17000.0,,15.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Ovibos,moschatus,Muskox,1096.0,1278.0,258.0,213.0,1.0,0.8,608.0,11460.0,,315000.0,0.0041,27.4,captivity,,,310.85
Mammalia,Artiodactyla,Bovidae,Ovis,ammon,Argali,403.0,823.0,170.0,135.0,1.0,1.0,365.0,3400.0,,160000.0,,16.8,captivity,,,
Mammalia,Artiodactyla,Bovidae,Ovis,aries,"Domestic sheep, or Mouflon",548.0,914.0,146.0,,1.58,1.0,365.0,2370.0,,80000.0,,22.8,captivity,,,311.95
Mammalia,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,707.0,749.0,180.0,152.0,1.0,1.0,365.0,4400.0,28000.0,70275.0,0.0031,20.6,captivity,114.674,67030.8,311.15
Mammalia,Artiodactyla,Bovidae,Ovis,dalli,Dall's sheep,684.0,639.0,173.0,129.0,1.0,1.0,365.0,2819.0,,73100.0,,19.6,captivity,,,
Mammalia,Artiodactyla,Bovidae,Pelea,capreolus,Common rhebok,,,261.0,,1.0,,,,,25000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Philantomba,maxwellii,Maxwell's duiker,730.0,685.0,120.0,61.0,1.0,1.0,,832.0,,7000.0,,18.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Philantomba,monticola,Blue duiker,487.0,685.0,193.0,,1.0,,265.0,800.0,,6250.0,,15.9,captivity,10.075,4200.0,312.55
Mammalia,Artiodactyla,Bovidae,Procapra,gutturosa,Mongolian gazelle,532.0,,185.0,,1.3,1.0,365.0,2900.0,,30000.0,,12.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Pseudois,nayaur,Bharal,730.0,,160.0,182.0,1.5,,,,,55000.0,,20.9,captivity,,,
Mammalia,Artiodactyla,Bovidae,Raphicerus,campestris,Steenbok,238.0,243.0,197.0,91.0,1.0,,215.0,920.0,,13000.0,,9.3,captivity,20.619,9600.0,312.55
Mammalia,Artiodactyla,Bovidae,Raphicerus,melanotis,Cape grysbok,,,,,,,,,,10249.9,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Redunca,arundinum,Southern reedbuck,,,224.0,,1.0,,376.0,4500.0,,58000.0,,16.8,captivity,,,
Mammalia,Artiodactyla,Bovidae,Redunca,fulvorufula,Mountain reedbuck,388.0,335.0,216.0,,1.0,1.1,353.0,3000.0,,30000.0,0.0093,15.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Redunca,redunca,Bohar reedbuck,502.0,502.0,228.0,,1.0,,,,,45500.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Rupicapra,pyrenaica,Pyrenean chamois,674.0,669.0,150.0,,,,,,,30000.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Rupicapra,rupicapra,Chamois,674.0,669.0,122.0,76.0,1.0,1.0,365.0,2400.0,,37500.0,,17.6,captivity,,,
Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,Saiga,331.0,669.0,152.0,87.0,1.7,1.0,365.0,3500.0,14500.0,37500.0,0.0065,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Sylvicapra,grimmia,Bush duiker,255.0,255.0,165.0,191.0,1.0,1.4,245.0,1612.0,,18500.0,,15.4,captivity,,,
Mammalia,Artiodactyla,Bovidae,Syncerus,caffer,African buffalo,1475.0,1674.0,331.0,289.0,1.0,0.4,635.0,44000.0,166000.0,700000.0,0.0026,32.8,captivity,,,
Mammalia,Artiodactyla,Bovidae,Taurotragus,derbianus,Giant eland,1107.0,1461.0,264.0,,1.0,,,,,680000.0,,20.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Taurotragus,oryx,Eland,589.0,571.0,274.0,182.0,1.0,,340.0,32000.0,,500000.0,0.0019,26.1,captivity,190.209,141404.0,309.65
Mammalia,Artiodactyla,Bovidae,Tetracerus,quadricornis,Four-horned antelope,365.0,,212.0,,1.5,,316.0,1044.0,,19000.0,,17.4,captivity,,,
Mammalia,Artiodactyla,Bovidae,Tragelaphus,angasii,Nyala,452.0,,224.0,213.0,1.0,1.2,295.0,5232.5,,120000.0,,23.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Tragelaphus,eurycerus,Bongo,806.0,914.0,288.0,,1.0,0.7,,19800.0,,307500.0,,22.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Tragelaphus,imberbis,Lesser kudu,504.0,504.0,235.0,274.0,1.0,1.3,259.0,6000.0,,82500.0,0.0095,19.8,captivity,,,
Mammalia,Artiodactyla,Bovidae,Tragelaphus,scriptus,Bushbuck,496.0,,188.0,,1.0,1.5,236.0,3800.0,,60000.0,0.0044,15.3,captivity,,,
Mammalia,Artiodactyla,Bovidae,Tragelaphus,spekii,Sitatunga,401.0,,242.0,,1.0,1.0,353.0,4000.0,,87500.0,,22.6,captivity,,,
Mammalia,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Greater kudu,517.0,,228.0,183.0,1.0,1.0,365.0,15000.0,,217500.0,,23.5,captivity,,,312.05
Mammalia,Artiodactyla,Camelidae,Camelus,bactrianus,Bactrian camel,1278.0,1278.0,395.0,,1.0,0.5,730.0,36000.0,,475000.0,,35.4,captivity,,,
Mammalia,Artiodactyla,Camelidae,Camelus,dromedarius,Dromedary,1095.0,2191.0,405.0,500.0,1.0,0.7,607.0,37000.0,253484.0,434000.0,,28.4,captivity,224.779,407000.0,310.65
Mammalia,Artiodactyla,Camelidae,Lama,glama,Llama,800.0,800.0,330.0,,1.0,1.0,,11000.0,,140000.0,,28.9,captivity,148.94,115000.0,311.45
Mammalia,Artiodactyla,Camelidae,Lama,guanicoe,Guanaco,365.0,730.0,335.0,345.0,1.0,0.5,,11500.0,,127500.0,,33.7,captivity,,,311.15
Mammalia,Artiodactyla,Camelidae,Vicugna,pacos,Alpaca,432.0,500.0,345.0,213.0,1.04,,,7210.0,,62000.0,,25.8,captivity,,,312.25
Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,Vicugna,730.0,730.0,340.0,213.0,1.0,0.7,548.0,5740.0,,50000.0,0.0057,31.6,captivity,,,313.05
Mammalia,Artiodactyla,Cervidae,Alces,alces,Moose,751.0,612.0,243.0,100.0,1.3,1.0,365.0,12844.0,94000.0,386000.0,0.0039,,unknown,286.847,325000.0,311.75
Mammalia,Artiodactyla,Cervidae,Axis,axis,Chital,766.0,913.0,226.0,122.0,1.03,,426.0,3144.0,,36000.0,,20.8,captivity,,,312.35
Mammalia,Artiodactyla,Cervidae,Axis,calamianensis,Calamian deer,304.0,,224.0,,2.0,,,,,40500.0,,17.2,captivity,,,
Mammalia,Artiodactyla,Cervidae,Axis,kuhlii,Bawean deer,304.0,,227.0,,1.2,1.3,,,,55000.0,,17.8,captivity,,,
Mammalia,Artiodactyla,Cervidae,Axis,porcinus,Hog deer,304.0,,232.0,182.0,1.0,,,2532.0,,43000.0,,22.9,captivity,,,
Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,Marsh deer,,,270.0,,1.0,1.0,,4200.0,,102500.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Capreolus,capreolus,Western roe deer,413.0,655.0,153.0,,1.6,1.0,365.0,1010.0,,21666.7,,17.5,captivity,46.347,21500.0,311.15
Mammalia,Artiodactyla,Cervidae,Capreolus,pygargus,Eastern roe deer,413.0,655.0,294.0,137.0,2.0,1.0,,1750.0,28750.0,39450.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Cervus,elaphus,Red deer,852.0,730.0,245.0,,1.0,0.9,,10100.0,,200000.0,0.006,31.5,captivity,112.43,67000.0,308.35
Mammalia,Artiodactyla,Cervidae,Cervus,nippon,Sika deer,500.0,500.0,210.0,172.0,1.0,1.0,,5750.0,28590.0,42000.0,,26.3,captivity,,,312.95
Mammalia,Artiodactyla,Cervidae,Dama,dama,Fallow deer,487.0,507.0,233.0,183.0,1.0,1.0,365.0,4500.0,22570.0,70000.0,,27.0,captivity,,,
Mammalia,Artiodactyla,Cervidae,Elaphodus,cephalophus,Tufted deer,639.0,730.0,180.0,,1.0,,,,,33500.0,,22.7,captivity,,,
Mammalia,Artiodactyla,Cervidae,Elaphurus,davidianus,Pere David's deer,821.0,1186.0,288.0,167.0,1.0,1.0,360.0,11000.0,,186500.0,,27.5,captivity,,,
Mammalia,Artiodactyla,Cervidae,Hippocamelus,antisensis,"Taruca, or Guemals",,,255.0,,1.0,,,,,45000.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Hippocamelus,bisulcus,Chilean guemal,,,198.0,,1.0,1.0,,3576.0,,70000.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,Chinese water deer,183.0,,190.0,,2.7,,,1042.0,,11500.0,,13.9,captivity,,,311.45
Mammalia,Artiodactyla,Cervidae,Mazama,americana,Red brocket,395.0,365.0,225.0,182.0,1.3,1.0,,538.5,,33000.0,,17.1,captivity,,,
Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,Gray brocket,395.0,365.0,212.0,,1.0,,,919.0,,17000.0,,14.8,captivity,,,
Mammalia,Artiodactyla,Cervidae,Muntiacus,crinifrons,Black muntjac,,,196.0,,1.0,,,,,18590.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Muntiacus,feae,Fea's muntjac,,,196.0,,1.2,,,,,22000.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,Indian muntjac,272.0,332.0,210.0,61.0,1.17,,241.0,1223.0,,21000.0,,18.8,captivity,,,
Mammalia,Artiodactyla,Cervidae,Muntiacus,reevesi,Reeves's muntjac,274.0,,199.0,,1.0,1.5,215.0,1050.0,,18000.0,,23.2,captivity,,,
Mammalia,Artiodactyla,Cervidae,Odocoileus,hemionus,Mule deer,478.0,503.0,207.0,132.0,1.5,1.0,365.0,2950.0,23100.0,57000.0,0.0057,22.0,captivity,,,313.15
Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,White-tailed deer,309.0,417.0,198.0,129.0,2.0,1.0,304.0,3000.0,36000.0,87000.0,0.007,23.0,captivity,123.447,61862.5,312.15
Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,Pampas deer,365.0,,213.0,167.0,1.0,1.0,330.0,2100.0,,32500.0,,21.9,captivity,,,310.65
Mammalia,Artiodactyla,Cervidae,Przewalskium,albirostre,Thorold's deer,730.0,,253.0,,1.0,1.0,,,,135000.0,,21.3,captivity,,,
Mammalia,Artiodactyla,Cervidae,Pudu,puda,Southern pudu,274.0,320.0,200.0,61.0,1.0,,,900.0,,10000.0,0.0186,18.3,captivity,,,
Mammalia,Artiodactyla,Cervidae,Rangifer,tarandus,"Caribou, or Reindeer",662.0,680.0,228.0,,1.0,1.0,365.0,6500.0,,101250.0,0.0047,21.8,captivity,119.66,85000.0,310.35
Mammalia,Artiodactyla,Cervidae,Rucervus,duvaucelii,Barasingha,1095.0,,250.0,,1.0,,,,,170000.0,,24.5,captivity,,,
Mammalia,Artiodactyla,Cervidae,Rucervus,eldii,Eld's deer,508.0,,241.0,240.0,1.0,1.0,372.0,4750.0,,122500.0,,20.5,captivity,,,
Mammalia,Artiodactyla,Cervidae,Rusa,alfredi,Visayan spotted deer,595.0,,243.0,,,,,,,46475.0,,18.5,captivity,,,
Mammalia,Artiodactyla,Cervidae,Rusa,marianna,Philippine deer,,,,,,,,,,50000.0,,,unknown,,,
Mammalia,Artiodactyla,Cervidae,Rusa,timorensis,Timor deer,464.0,,251.0,228.0,1.0,1.0,366.0,,,63000.0,,21.1,captivity,,,
Mammalia,Artiodactyla,Cervidae,Rusa,unicolor,Sambar,650.0,,232.0,213.0,1.0,1.0,,10000.0,,185000.0,,26.4,captivity,,,
Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffe,1278.0,1644.0,457.0,,1.0,0.5,620.0,58500.0,,800000.0,,39.5,captivity,,,310.25
Mammalia,Artiodactyla,Giraffidae,Okapia,johnstoni,Okapi,578.0,790.0,458.0,194.0,1.0,0.8,,16000.0,77000.0,225000.0,,33.5,captivity,,,311.22
